COD_ZONA;NOM_ZONA;COD_PARROQUIA;COD_CIRCUNSCRIPCION
2;SAN AGUSTIN;325;0
3;SAN JOSÉ;325;0
1;BELLAVISTA;330;2
2;EL ESFUERZO;330;2
1;BILOVAN;345;0
2;LAS GUARDIAS;345;0
3;MATAPALO;345;0
1;BOMBOIZA;350;0
2;TINK;350;0
3;AYANTAS;350;0
4;CHUMPIAS;350;0
5;MONTERREY;350;0
6;SHUAR SAKANAS;350;0
7;SHAIME;350;0
8;KAYAMAS;350;0
1;BOLIVAR;355;0
2;MOMPICHE;355;0
1;CHIBUNGA;405;1
2;SAN JUAN DE BUA;405;1
3;SAN FRANCISCO DE YAHUILA;405;1
4;BOCA DE BARBUDAL;405;1
5;SANTA ROSA DE CUCHARA;405;1
1;CALDERON;440;3
2;CARAPUNGO;440;3
3;SAN MIGUEL DEL COMÚN;440;3
4;MARIANITAS;440;3
5;SAN JUAN DE CALDERON;440;3
6;SAN JOSE DE MORAN;440;3
7;LLANO GRANDE;440;3
1;CALPI;445;0
2;NITILUISA;445;0
1;CAMPOZANO;460;2
2;SANTA BÁRBARA;460;2
1;CANELOS;475;0
2;CHONTOA;475;0
3;EL NARANJAL;475;0
1;CANGAHUA;480;4
2;CHUMILLOS;480;4
3;SAN ANTONIO;480;4
4;PISAMBILLA;480;4
5;SANTA ROSA DE PACCHA;480;4
6;SAN LUIS DE GUACHALÁ;480;4
1;CANUTO;495;1
2;SAN PABLO DE TARUGO;495;1
1;CAPIRO;505;0
2;GUERRAS;505;0
3;TINAJAS;505;0
4;LOS AMARILLOS;505;0
5;CONCHICOLA;505;0
1;SHIMPIS;525;0
2;COMUNA GRANDE;525;0
1;CAROLINA /GUALLUPI;530;0
2;CUAJARA;530;0
1;CARONDELET;535;0
2;LA BOCA;535;0
1;MANGAHURCO;550;0
4;LA LEONERA;550;0
1;CEBADAS;555;0
2;TRANCA SAN LUIS;555;0
1;CIANO;565;0
2;LAS COCHAS;565;0
1;COCHAPATA;575;0
2;ÑAMARIN;575;0
1;COJIMIES;580;1
2;BECHE;580;1
3;ELOY ALFARO;580;1
4;CHEVE ARRIBA;580;1
5;LOS ZENGUES;580;1
6;CORAZÓN DE BORDONES;580;1
7;PAVÓN;580;1
1;COLAIZACA;590;0
2;CHINCHANGA CENTRO;590;0
1;HUASAGA /WAMPUIK;595;0
2;KAIPTASH;595;0
3;ACHUAR WACHIRPAS;595;0
4;IPIAK;595;0
5;PAKINTS;595;0
6;COMUNIDAD ACHUAR SHUIN MAMUS;595;0
1;SAN PEDRO DE LOS COFANES;600;0
2;JIVINO VERDE;600;0
1;COLONCHE;605;0
2;PALMAR;605;0
3;MANANTIAL DE GUANGALA;605;0
4;MONTEVERDE;605;0
5;BAMBIL DESECHO;605;0
6;LOMA ALTA;605;0
7;LAS BALSAS;605;0
8;SALANGUILLO;605;0
9;AYANGUE;605;0
10;AGUADITA;605;0
11;MANANTIAL DE COLONCHE;605;0
1;COLUMBE;610;0
2;PULUCATES;610;0
3;LLINLLIN;610;0
4;SAN GUISEL ALTO;610;0
1;CONCEPCION;620;0
2;GUAYABAL;620;0
3;19 DE MARZO;620;0
4;YALARE;620;0
1;CONOCOTO;625;3
2;LA ARMENIA;625;3
3;HOSPITALARIA;625;3
4;SANTA MONICA;625;3
5;ONTANEDA LA SALLE;625;3
1;CONONACO - KAWIMENO;630;0
2;DIKARO;630;0
3;BAMENO;630;0
1;CRNEL. LORENZO GARAICOA;660;4
2;INÉS MARIA;660;4
1;EL GUISMI;665;0
2;LA ARGELIA;665;0
3;MIASI;665;0
4;CHUCHUMBLETZA;665;0
1;COTUNDO;685;0
2;KM 18;685;0
