COD_PARROQUIA;NOM_PARROQUIA;COD_CANTON;COD_CIRCUNSCRIPCION
1920;SALANGO;975;2
2305;MACHALILLA;975;2
6575;PUERTO LOPEZ;975;2
4385;TRIUNFO DORADO;980;0
4600;PANGUINTZA;980;0
6625;ZUMBI;980;0
455;BELLAVISTA;981;0
1120;NUEVO QUITO;981;0
6885;PAQUISHA;981;0
4635;MONTERREY;982;0
4640;LA VILLEGAS;982;0
4645;PLAN PILOTO;982;0
7520;LA CONCORDIA;982;0
6620;GRAL.ELIZALDE /BUCAY;985;4
6710;ISIDRO AYORA;986;4
6615;GUACHAPALA;990;0
1520;MARISCAL SUCRE;995;0
6665;HUACA;995;0
