COD_PROVINCIA;NOM_PROVINCIA;COD_CIRCUNSCRIPCION;NOM_CIRCUNSCRIPCION;COD_CANTON;NOM_CANTON;COD_PARROQUIA;NOM_PARROQUIA;EST_PARROQUIA;COD_ZONA;NOM_ZONA;COD_RECINTO;NOM_RECINTO
1;AZUAY;0;;265;GUALACEO;1005;DANIEL CORDOVA TORAL;R;0;;408;ESCUELA DE EDUCACIÓN BÁSICA MARIANO CUEVA
1;AZUAY;0;;265;GUALACEO;1760;LUIS CORDERO VEGA;R;0;;2026;ESCUELA DE EDUCACION BASICA REMIGIO ASTUDILLO
1;AZUAY;0;;265;GUALACEO;1805;JADAN;R;1;JADAN;368;ESCUELA DE EDUCACION BASICA TADEO TORRES
1;AZUAY;0;;265;GUALACEO;1805;JADAN;R;2;SANTA ROSA DE CHICHIN;4620;ESCUELA DE EDUCACION BASICA TERESA MORALES VILLAVICENCIO
1;AZUAY;0;;265;GUALACEO;1805;JADAN;R;3;EL CARMEN;5007;ESCUELA DE EDUCACION BASICA FEDERICO GUERRERO
1;AZUAY;0;;265;GUALACEO;2385;MARIANO MORENO/CALLASAY;R;1;MARIANO MORENO/CALLASAY;693;UNIDAD EDUCATIVA RIO TOMEBAMBA/COLEGIO NACIONAL RIO TOMEBAMBA
1;AZUAY;0;;265;GUALACEO;2385;MARIANO MORENO/CALLASAY;R;2;CERTAG;4991;CASA COMUNAL DE CERTAG
1;AZUAY;0;;265;GUALACEO;3160;REMIGIO CRESPO TORAL;R;0;;2025;ESCUELA DE EDUCACION BASICA CLUB DE LEONES DE VIRGINIA
1;AZUAY;0;;265;GUALACEO;3505;SAN JUAN;R;0;;1059;UNIDAD EDUCATIVA NICANOR AGUILAR MALDONADO
1;AZUAY;0;;265;GUALACEO;3780;SIMON BOLIVAR;R;0;;2024;ESCUELA DE EDUCACION BASICA EMILIO MOSCOSO
1;AZUAY;0;;265;GUALACEO;4340;ZHIDMAD;R;1;ZHIDMAD;2029;UNIDAD EDUCATIVA ZHIDMAD / ESCUELA DE EDUCACIÓN BÁSICA TOMÁS ORDÓÑEZ
1;AZUAY;0;;265;GUALACEO;4340;ZHIDMAD;R;2;SAN JOSE DE LALCOTE;4962;ESCUELA DE EDUCACION BASICA JOSE MARIA LOPEZ
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;1173;UNIDAD EDUCATIVA SANTO DOMINGO DE GUZMAN
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;1158;UNIDAD EDUCATIVA MIGUEL MALO GONZALEZ
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;1058;ESCUELA DE EDUCACIÓN BÁSICA MERCEDES DE JESÚS MOLINA
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;1197;ESCUELA DE EDUCACION BASICA BRASIL
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;1088;UNIDAD EDUCATIVA ALFONSO LITUMA/COLEGIO ALFONSO LITUMA CORREA
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;5803;UNIDAD EDUCATIVA GUALACEO
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;1;GUALACEO;5847;ESCUELA DE EDUCACION BASICA CIUDAD DE GUALACEO
1;AZUAY;0;;265;GUALACEO;5420;GUALACEO;U;2;BULLCAY;4963;CASA COMUNAL DE BULLCAY (EL CARMEN)
1;AZUAY;0;;270;GIRON;175;ASUNCION;R;1;LA ASUNCION;1382;UNIDAD EDUCATIVA REMIGIO CRESPO TORAL / COLEGIO REMIGIO CRESPO TORAL
1;AZUAY;0;;270;GIRON;175;ASUNCION;R;2;LENTAG;2037;UNIDAD EDUCATIVA BENIGNO JARA
1;AZUAY;0;;270;GIRON;885;SAN GERARDO;R;0;;1947;ESCUELA DE EDUCACION BASICA AGUSTIN CRESPO HEREDIA
1;AZUAY;0;;270;GIRON;5395;GIRON;U;0;;893;ESCUELA EDUCACION BASICA 27 DE FEBRERO
1;AZUAY;0;;270;GIRON;5395;GIRON;U;0;;1561;UNIDAD EDUCATIVA CIUDAD DE GIRON / COLEGIO RAFAEL CHICO PEÑAHERRERA
1;AZUAY;0;;270;GIRON;5395;GIRON;U;0;;1527;UNIDAD EDUCATIVA CIUDAD DE GIRON/COLEGIO CIUDAD DE GIRON
1;AZUAY;0;;270;GIRON;5395;GIRON;U;0;;5846;UNIDAD EDUCATIVA AGUSTIN CRESPO HEREDIA
1;AZUAY;0;;275;PAUTE;395;BULAN / J. VICTOR IZQUIERDO;R;0;;2088;ESCUELA DE EDUCACION BASICA HONORATO LOYOLA
1;AZUAY;0;;275;PAUTE;870;CHICAN / GUILLERMO ORTEGA;R;1;CHICAN /G. ORTEGA;1205;UNIDAD EDUCATIVA MANUEL J CALLE
1;AZUAY;0;;275;PAUTE;870;CHICAN / GUILLERMO ORTEGA;R;2;UZHUPUD;2960;ESCUELA DE EDUCACION BASICA MODESTO VINTIMILLA
1;AZUAY;0;;275;PAUTE;890;DUG-DUG;R;1;DUG - DUG;2053;ESCUELA DE EDUCACION BASICA JOSE DE LA VEGA
1;AZUAY;0;;275;PAUTE;890;DUG-DUG;R;2;LAZUL;2472;CASA COMUNAL LAZUL
1;AZUAY;0;;275;PAUTE;1455;GUARAINAC;R;1;GUARAINAC;2019;UNIDAD EDUCATIVA SAN PABLO DE GUARAINAC/COLEGIO LUIS VEGA GARIDO
1;AZUAY;0;;275;PAUTE;1455;GUARAINAC;R;2;JUNTAS;2535;CASA COMUNAL DE JUNTAS
1;AZUAY;0;;275;PAUTE;3375;SAN CRISTOBAL;R;1;SAN CRISTOBAL;2020;UNIDAD EDUCATIVA PIO BRAVO / ESCUELA DE EDUCACIÓN BÁSICA PIO BRAVO
1;AZUAY;0;;275;PAUTE;3375;SAN CRISTOBAL;R;2;GUACHUN;2333;ESCUELA DE EDUCACIÓN BÁSICA ALBERTO MARÍA ANDRADE
1;AZUAY;0;;275;PAUTE;4050;TOMEBAMBA;R;0;;2015;ESCUELA DE EDUCACION BASICA ANTONIO MORALES
1;AZUAY;0;;275;PAUTE;4565;EL CABO;R;0;;2343;UNIDAD EDUCATIVA ATENAS DEL ECUADOR/ESCUELA ANTONIO VEGA MUNOZ
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;1;PAUTE;1174;ESCUELA DE EDUCACIÓN BÁSICA ISIDRO AYORA
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;1;PAUTE;1165;UNIDAD EDUCATIVA 26 DE FEBRERO / ESCUELA SIMÓN BOLIVAR
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;1;PAUTE;5870;UNIDAD EDUCATIVA CIUDAD DE PAUTE
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;1;PAUTE;5860;UNIDAD EDUCATIVA FISCOMISIONAL JULIO MARIA MATOVELLE
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;2;VILLAFLOR;2754;ESCUELA DE EDUCACIÓN BÁSICA CORNELIO MOSQUERA LOPEZ
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;3;ZHUMIR;2179;ESCUELA DE EDUCACION BASICA FRANCISCO ALVARADO COBOS
1;AZUAY;0;;275;PAUTE;5775;PAUTE;U;89;VOTO EN CASA;0;
1;AZUAY;0;;280;SIGSIG;750;CUTCHIL;R;0;;32;ESCUELA DE EDUCACIÓN BÁSICA ERNESTO LOPEZ
1;AZUAY;0;;280;SIGSIG;1355;GIMA;R;0;;580;UNIDAD EDUCATIVA JIMA/ ESCUELA DE EDUCACION BASICA REMIGIO ESTEVEZ DE TORAL
1;AZUAY;0;;280;SIGSIG;1490;GUEL;R;0;;1434;ESCUELA DE EDUCACION BASICA JOSE FELIX GONZALEZ
1;AZUAY;0;;280;SIGSIG;2215;LUDO;R;1;LUDO;1170;UNIDAD EDUCATIVA AGUSTIN IGLESIAS/ESCUELA AGUSTÍN IGLESIAS
1;AZUAY;0;;280;SIGSIG;2215;LUDO;R;2;BUENA VISTA;1218;ESCUELA DE EDUCACION BASICA LUIS BENIGNO TORRES
1;AZUAY;0;;280;SIGSIG;2215;LUDO;R;3;HATOBOLO;1242;ESCUELA DE EDUCACION BASICA MANUEL J. SALCEDO
1;AZUAY;0;;280;SIGSIG;3360;SAN BARTOLOME;R;1;SAN BARTOLOMÉ;706;UNIDAD EDUCATIVA SAN BARTOLOMÉ / ESCUELA MIGUEL MORENO
1;AZUAY;0;;280;SIGSIG;3360;SAN BARTOLOME;R;2;LA LIBERTAD;818;ESCUELA DE EDUCACION BASICA EDMUNDO MALDONADO
1;AZUAY;0;;280;SIGSIG;3360;SAN BARTOLOME;R;3;SIGSIGLLANO;5024;UNIDAD EDUCATIVA JUAN BAUTISTA VASQUEZ
1;AZUAY;0;;280;SIGSIG;3495;SAN JOSE DE RARANGA;R;1;SAN JOSE DE RARANGA;1470;UNIDAD EDUCATIVA SAN JOSE DE RARANGA / ESCUELA ISAAC MARIA PEÑA
1;AZUAY;0;;280;SIGSIG;3495;SAN JOSE DE RARANGA;R;2;LA ESMERALDA;2151;ESCUELA DE EDUCACIÓN BÁSICA 5 DE NOVIEMBRE
1;AZUAY;0;;280;SIGSIG;6085;SIGSIG;U;1;SIGSIG;1345;ESCUELA DE EDUCACIÓN BÁSICA DOMINGO SAVIO
1;AZUAY;0;;280;SIGSIG;6085;SIGSIG;U;1;SIGSIG;4993;UNIDA EDUCATIVA SIGSIG
1;AZUAY;0;;280;SIGSIG;6085;SIGSIG;U;1;SIGSIG;5802;UNIDAD EDUCATIVA FISCOMISIONAL MARIA MAZZARELLO
1;AZUAY;0;;280;SIGSIG;6085;SIGSIG;U;2;PIRUNCAY;2492;ESCUELA DE EDUCACIÓN BÁSICA CARMEN ADELA CARDENAS
1;AZUAY;0;;285;SANTA ISABEL;15;ABDON CALDERON / LA UNION;R;0;;1336;UNIDAD EDUCATIVA JAIME ROLDOS AGUILERA/COLEGIO JAIME ROLDOS AGUILERA
1;AZUAY;0;;285;SANTA ISABEL;3835;SHAGLLI;R;1;SHAGLLI;1243;UNIDAD EDUCATIVA SAN PEDRO DE SHAGLLI/ESCUELA PEDRO UNDA
1;AZUAY;0;;285;SANTA ISABEL;3835;SHAGLLI;R;2;HUERTAS;3476;ESCUELA BENJAMÍN CARRIÓN
1;AZUAY;0;;285;SANTA ISABEL;3835;SHAGLLI;R;3;PUCULCAY;5000;UNIDAD EDUCATIVA SAN ALFONSO DE PUCULCAY
1;AZUAY;0;;285;SANTA ISABEL;4610;SAN SALVADOR DE CAÑARIBAMBA;R;0;;1986;ESCUELA DE EDUCACIÓN GENERAL BASICA EMILIANO HINOSTROZA
1;AZUAY;0;;285;SANTA ISABEL;6045;SANTA ISABEL;U;1;SANTA ISABEL;1328;ESCUELA DE EDUCACIÓN BÁSICA FERNANDO DE ARAGÓN
1;AZUAY;0;;285;SANTA ISABEL;6045;SANTA ISABEL;U;1;SANTA ISABEL;1252;UNIDAD EDUCATIVA SANTA ISABEL/COLEGIO SANTA ISABEL
1;AZUAY;0;;285;SANTA ISABEL;6045;SANTA ISABEL;U;1;SANTA ISABEL;1988;ESCUELA DE EDUCACION BASICA VEINTE DE ENERO
1;AZUAY;0;;285;SANTA ISABEL;6045;SANTA ISABEL;U;1;SANTA ISABEL;5856;UNIDAD EDUCATIVA LA IMACULADA
1;AZUAY;0;;285;SANTA ISABEL;6045;SANTA ISABEL;U;3;JUBONES;2002;ESCUELA DE EDUCACION BASICA RAFAEL VINTIMILLA JARA
1;AZUAY;0;;285;SANTA ISABEL;6045;SANTA ISABEL;U;89;VOTO EN CASA;0;
1;AZUAY;0;;555;PUCARA;1690;SAN RAFAEL DE SHARUG;R;1;SAN RAFAEL DE SHARUG;2089;UNIDAD EDUCATIVA SAN RAFAEL DE SHARUG / ESCUELA FAE
1;AZUAY;0;;555;PUCARA;1690;SAN RAFAEL DE SHARUG;R;2;GUARUMAL;4984;ESCUELA DE EDUCACION BASICA GUARUMAL
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;1;PUCARA;967;UNIDAD EDUCATIVA PUCARA/ESCUELA JUAN DE VELASCO
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;2;SARAYUNGA;2184;UNIDAD EDUCATIVA SARAYUNGA
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;3;GRAMALOTE;2526;ESCUELA DE EDUCACIÓN BÁSICA GRAMALOTE
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;4;CERRO NEGRO;2153;UNIDAD EDUCATIVA CORNELIO VELEZ
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;5;PELINCAY;2527;ESCUELA DE EDUCACION BASICA PELINCAY
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;7;CALIGUIÑA;1984;ESCUELA DE EDUCACION BASICA DR. ALFREDO PEREZ GUERRERO
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;8;LA DOLOROSA;2531;UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ/ESCUELA DE EDUCACIÓN BÁSICA FEDERICO GONZALEZ SUAREZ
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;9;LAS PALMAS;2209;ESCUELA DE EDUCACIÓN BÁSICA PROVINCIA DEL AZUAY
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;10;SANTA CECILIA;33;ESCUELA DE EDUCACIÓN BÁSICA RAMÓN MORALES VALDIVIESO
1;AZUAY;0;;555;PUCARA;5690;PUCARA;U;11;SAN ANTONIO DE ÑUGRO;5857;ESCUELA DE EDUCACION BASICA ALBERTO DURAN CHICA
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;1130;EL CARMEN DE PIJILI;R;0;;2258;ESCUELA DE EDUCACIÓN BÁSICA 16 DE JULIO
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;1;CAMILO PONCE ENRIQUEZ;1539;COLEGIO DE BACHILLERATO PONCE ENRIQUEZ
